,age,response_side,impaired_vision,experience,gender,session_id,inner_width,trial_no,filename,scene_id,red_count,blue_count,version,response_time,expected_side,browser,screen_w,screen_h,os,exp_start_date,exp_start_time,favorite_team,favorite_color,subject_id,is_correct
77,38,blue,no,more,male,1697622184937,2419,17,id19_v2_b7_r6.jpg,19,6,7,2,673,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
78,38,red,no,more,male,1697622184937,2419,18,id11_v1_b5_r6.jpg,11,6,5,1,691,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
79,38,red,no,more,male,1697622184937,2419,19,id21_v1_b6_r7.jpg,21,7,6,1,1072,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
80,38,blue,no,more,male,1697622184937,2419,20,id18_v2_b5_r7.jpg,18,7,5,2,1983,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
81,38,red,no,more,male,1697622184937,2419,21,id13_v2_b6_r5.jpg,13,5,6,2,964,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
82,38,red,no,more,male,1697622184937,2419,22,id30_v2_b6_r7.jpg,30,7,6,2,1202,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
83,38,blue,no,more,male,1697622184937,2419,23,id4_v2_b6_r5.jpg,4,5,6,2,494,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
84,38,blue,no,more,male,1697622184937,2419,24,id29_v2_b6_r7.jpg,29,7,6,2,1079,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
85,38,blue,no,more,male,1697622184937,2419,25,id14_v2_b6_r7.jpg,14,7,6,2,592,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
86,38,red,no,more,male,1697622184937,2419,26,id25_v2_b6_r7.jpg,25,7,6,2,523,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
87,38,red,no,more,male,1697622184937,2419,27,id3_v2_b6_r7.jpg,3,7,6,2,650,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
88,38,blue,no,more,male,1697622184937,2419,28,id9_v1_b7_r5.jpg,9,5,7,1,585,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
89,38,red,no,more,male,1697622184937,2419,29,id2_v2_b5_r6.jpg,2,6,5,2,681,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
90,38,blue,no,more,male,1697622184937,2419,30,id20_v2_b6_r7.jpg,20,7,6,2,472,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
91,38,blue,no,more,male,1697622184937,2419,31,id22_v2_b7_r6.jpg,22,6,7,2,624,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
92,38,red,no,more,male,1697622184937,2419,32,id15_v1_b6_r8.jpg,15,8,6,1,586,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
93,38,red,no,more,male,1697622184937,2419,33,id10_v1_b6_r7.jpg,10,7,6,1,557,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
94,38,blue,no,more,male,1697622184937,2419,34,id17_v2_b5_r6.jpg,17,6,5,2,730,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
